feature,feature_importance
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0,5.191701710024742e-05
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.4,0.008296708869411553
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.8,0.0
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.2,0.0003554281541240282
right_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0,2.969323939309093e-06
right_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0,8.085708526526591e-06
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"mean",0.0007646980756050077
right_knee_angle__fft_coefficient__attr_"imag"__coeff_23,0.005912739917262639
right_knee_angle__linear_trend__attr_"slope",0.009193471781267146
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.2__ql_0.0,0.0006302751149410318
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0,7.043817271608299e-05
right_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.8,0.0011323380417689113
right_knee_angle__fft_coefficient__attr_"angle"__coeff_76,0.04775346210374664
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.2,0.0032644144288519633
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.8,0.00025243592680915423
right_ankle_angle__fft_coefficient__attr_"real"__coeff_81,0.0005460300746606048
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_41,0.0009168312080760634
left_hip_angle__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var",1.597777075968833e-05
right_hip_angle__mean_abs_change,0.0012035185086570384
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.0,0.0008480778915157753
right_knee_angle__sum_values,0.0016049596344206829
right_knee_angle__fft_coefficient__attr_"real"__coeff_0,0.001955493782201727
right_ankle_angle__fft_coefficient__attr_"real"__coeff_85,0.0021047963215602835
right_ankle_angle__fft_coefficient__attr_"real"__coeff_73,0.0007415154285208877
right_knee_angle__fft_coefficient__attr_"imag"__coeff_78,0.004647876434102408
right_ankle_angle__fft_coefficient__attr_"real"__coeff_66,0.002063895163900555
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_40,5.206469801475312e-05
left_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var",0.0002089766628852689
left_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"min",0.0008266126210264409
left_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"max",0.0016192220870139184
right_ankle_angle__mean_abs_change,0.002645430201139735
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.0,0.001612666184851456
right_knee_angle__fft_coefficient__attr_"imag"__coeff_25,0.0015326923554129922
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"mean",0.0003133232250428626
right_knee_angle__mean,0.00160292338379345
right_knee_angle__fft_coefficient__attr_"real"__coeff_78,0.0016636217153969612
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6,0.004406961183393614
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"var",7.856535731567519e-07
right_knee_angle__cid_ce__normalize_False,0.00417493989111482
right_ankle_angle__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var",0.0
right_knee_angle__fft_coefficient__attr_"real"__coeff_77,5.015936893684001e-05
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.8,0.002452242030645365
right_knee_angle__fft_coefficient__attr_"real"__coeff_81,0.0007929881433288725
left_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"min",0.0063111688012753185
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_46,0.00026657458623282417
right_ankle_angle__fft_coefficient__attr_"real"__coeff_49,0.0016843730950548545
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.0,0.0023897841023104833
right_ankle_angle__fft_coefficient__attr_"real"__coeff_82,0.007791387284918336
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_45,0.00014786876824286364
right_ankle_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.8,0.0
right_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.0,7.141123567649977e-05
left_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.2,5.168116560290189e-05
right_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0,3.5541207670347855e-05
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"min",0.0006789531859320493
right_ankle_angle__fft_coefficient__attr_"real"__coeff_51,0.00018457582804170782
right_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.2__ql_0.0,0.00023335176406927982
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.0,0.0015186612063197366
left_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.4,5.439106582346875e-05
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_37,0.0007195369920073355
left_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"var",0.0024586391695642735
left_knee_angle__mean_change,0.001681613580550702
left_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",8.265244145776141e-05
left_knee_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.0,0.003938862472031134
right_knee_angle__fft_coefficient__attr_"imag"__coeff_58,0.0005248273306243191
right_knee_angle__fft_coefficient__attr_"imag"__coeff_42,0.00011608696914009783
right_ankle_angle__fft_coefficient__attr_"real"__coeff_41,0.0009088607233042087
right_knee_angle__fft_coefficient__attr_"imag"__coeff_47,0.00031348891129536117
right_knee_angle__fft_coefficient__attr_"imag"__coeff_73,0.0017642831051499991
right_ankle_angle__fft_coefficient__attr_"real"__coeff_76,0.0006901358789804083
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"max",0.0008116141384485546
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.8,0.00352937669403048
left_hip_angle__linear_trend__attr_"stderr",3.118500518695064e-05
right_knee_angle__fft_coefficient__attr_"real"__coeff_75,0.0022790960988452224
